	Stu_00ea0b50a27238a1a209396453fb1c4d	Stu_01476ce43b36f563415487142e1c046c	Stu_0253cdb749f39471861340d0346915f1	Stu_02e531baf3492ba41607c21175598a09	Stu_038d615d7f4ebc8b27efd2c8d226d034	Stu_0391448da5eac00f9b6dd455081aa08e	Stu_04dd6ee86838195f6ceaf45c5bec197e	Stu_04ea566d35db87559bff32360ac139ac	Stu_0657f86f4ff3fe084bfff62f488150c4	Stu_07162763f5295ac2ac205a59c82f218e	Stu_0750480f9d470c37e313dc36329047f7	Stu_08068adc1a7ce33ac09ccb426ab6f293	Stu_0832d131f43ba6e40d91ab220cc1bb79	Stu_09266f06981ef59c54b75202604eebbf	Stu_09f76d2083c142e10771e26934a20c26	Stu_0b5df9ca7199154ee2f1d10fb15b3c50	Stu_0b8e52119f6b5f2b2dd5c1ad16a750f8
0-0-distribution	-12.6520796246266	-16.9976028706867	-12.591180081876	-12.7513587264981	-13.147721225129	-12.1486492698968	-12.705946995443	-12.699594166812	-14.2064430440838	12.0791479984584	-11.8870089671287	12.1741684551854	-13.3850526770995	12.7566950646387	12.3475031668554	-12.1467684895628	-12.7555308750489
0-1-likelihood|probability	-12.9143604416656	-12.4396754759534	-12.4203661604047	12.4379123572427	11.8961051561836	12.6755747431011	12.1769203654983	-12.3345718748075	-12.6538252169939	12.5106872039302	-11.6560953513114	12.6925603196079	11.9510463536653	12.7120928476327	12.5386199175453	12.5808137736772	-11.9830520297623
0-2-observations	-12.564730934618	-14.5507872463049	-13.1681328354486	-13.1895521280443	-12.6348392756702	-11.8003619254897	-12.859867502068	-12.7009590515183	-15.2932545403845	12.6229622371213	12.6096265819607	12.5075699585043	-13.8868258771933	12.6701790041058	-11.9692820389466	12.5164105754695	-12.6806217116279
0-3-range|set	-12.4593916451381	-13.2378994186066	12.3905704110354	12.0171031857518	-12.0762441075006	12.7267664976358	-12.1572547895992	11.869857435506	-12.4666334420873	12.5063486873512	12.4959403788315	12.423497301199	12.2030481856115	13.3871809649667	13.1353640402232	13.2678238779283	12.0224520041352
1-0-normal	-12.6231937718623	-12.2838380382187	12.3949715074255	-12.3598033553587	-12.3827309903308	12.3638982772433	-12.7279919519324	12.4139996479735	11.9592403964209	12.6624283598857	-11.9043405584153	-12.1501350227478	-12.1061672460216	12.4646201012832	12.6308593708814	12.3739677893024	11.6657679641136
1-1-symmetric	-12.831301698783	-13.9562134865418	-12.7844190549838	-12.6946832472926	-13.8865515955562	12.4342302546422	-12.6383859406393	-12.4319805646033	-13.3113870470771	-12.4064662089308	-11.8070070324955	12.4706735444776	-12.8586557173456	-11.8417995614908	12.3602536394992	12.3425200238534	-13.3915766332554
1-2-probability	-13.7048067065599	-12.0113137159923	-14.1736229451505	-12.6146585630132	-12.7748352225934	12.7706211749757	11.6763513725897	-12.4908489284905	-12.8370619468169	13.1349517666194	12.680094910967	-11.839927006381	-12.9435137009975	-12.151982074216	-12.0829620483953	12.2878387703221	-12.8057714459158
1-3-equal	11.7278238284552	-12.1271786880227	-12.9401225776994	11.9276559080915	-12.2651525771663	12.4777996125364	-12.7935268176948	-12.9423151579086	-12.6551995233964	12.9326897343378	13.2508204580591	12.5496616584312	-12.3260488600502	12.7824371194533	-11.7573391313996	12.6797326726518	11.5941537083743
10-0-normal	12.1447091311046	-11.6558205077351	12.0690864846455	-12.476556980754	11.6964414453194	12.6215897101924	-12.8378965534309	12.64684978694	12.2905306101435	-11.7890398916934	12.5647884104201	13.5899006140133	-12.2395623031593	12.6258992157187	12.8967084532926	12.6466800327918	-12.72904081361
10-1-99.7	-12.7200790387473	-15.5123952124728	-12.5470740367768	12.3047085424243	-12.734145733389	12.675786715597	-12.4855851810632	-13.67722080608	-12.8452924930022	12.2351891089288	12.5347852203085	-12.4474215760233	11.6202335658403	12.9295331163787	12.6936167019987	-12.0384921399478	-12.2123861880241
10-2-range	-12.1456615293379	11.4760934645806	11.9252377348781	12.1437264408483	-11.9948296175927	12.5362708507908	12.3262746577315	-12.5513130731726	-12.1644285203924	-11.9910503114384	12.5524964064097	12.5253569147869	-11.6678923961158	12.3388275418644	12.7053142298436	12.53540407865	12.0683398243362
10-3-3	-12.6007345151993	-13.2620420258237	-12.632065213804	12.0759274305935	11.8145519365243	12.63597045628	-12.2305613719845	-12.9954068785112	-12.8964816670407	12.8785875667517	13.4277753962134	12.4500319152618	-12.1378493473805	13.9954582554085	12.6280011440057	13.1579774507768	11.8141866336132
