	0 A distribution describes the likelihood that observations will occur within any range of values.	1 A normal distribution, the most common natural distribution, is symmetric, so for example, the probability of observing a value in the range between -1 and 0 is equal to the probability of the range between 0 and 1.	2 A statistic describes a characteristic of a sample.	3 Although multiple samples are variable they are intended to represent the population from which they come.	4 Standard deviation is the square root of the variance, also known as root mean squared error.	5 Standard deviation refers to how individual observations vary from the mean, while standard error refers to how multiple observations (i.e. samples) vary from the mean.	6 The density of a distribution between a range of values represents the probability that a new observation will fall within that range also.	7 The mean is computed by taking the sum of all the numbers in a set, divided by the count of the numbers in the set.	8 The normal distribution has 68 percent of its observations in the range between -1 and 1 standard deviations from the mean.	9 The normal distribution has 95 percent of its observations in the range between -2 and 2 standard deviations from the mean.	10 The normal distribution has 99.7 percent of its observations in the range between -3 and 3 standard deviations from the mean.	11 The sample mean, or average, is a statistic that represents what we expect observations in the sample to be centered around.	12 The standard deviation is a statistic that describes typical variability for a set of observations.	13 The units for the standard deviation statistic are the same units used to measure the observations.	14 The variance for a sample is computed by dividing the sum of the observation variances by 1 less than the total observations.	15 The variance for an observation is the squared difference from the mean.	16 Variability refers to how different the observations are from each other and sometimes from the mean.	17 When a study involves human subjects, the sample is the group of people who participated in the study.
0 A distribution describes the likelihood that observations will occur within any range of values.	1	0.0441176470588235	0.700980392156863	0.348039215686274	0.0759803921568627	0.16421568627451	0.0808823529411765	0.389705882352941	0.284313725490196	-0.178921568627451	0.659313725490196	0.446078431372549	0.181372549019608	0.25	0.0294117647058824	0.428921568627451	0.762254901960784	0.107843137254902
1 A normal distribution, the most common natural distribution, is symmetric, so for example, the probability of observing a value in the range between -1 and 0 is equal to the probability of the range between 0 and 1.	0.0441176470588235	1	0.492647058823529	0.110294117647059	-0.323529411764706	0.473039215686274	0.0637254901960784	0.549019607843137	0.169117647058824	-0.159313725490196	0.0196078431372549	0.549019607843137	0.0514705882352941	-0.0612745098039216	-0.100490196078431	-0.00490196078431373	0.183823529411765	-0.0784313725490196
2 A statistic describes a characteristic of a sample.	0.700980392156863	0.492647058823529	1	0.446078431372549	-0.286764705882353	0.625	0.100490196078431	0.75	0.394607843137255	-0.213235294117647	0.480392156862745	0.799019607843137	0.159313725490196	0.17156862745098	-0.105392156862745	0.311274509803922	0.529411764705882	0.316176470588235
3 Although multiple samples are variable they are intended to represent the population from which they come.	0.348039215686274	0.110294117647059	0.446078431372549	1	-0.321078431372549	0.522058823529412	0.46078431372549	0.45343137254902	0.151960784313725	-0.365196078431373	0.0637254901960784	0.178921568627451	-0.181372549019608	0.558823529411765	0.382352941176471	0.0906862745098039	0.159313725490196	0.264705882352941
4 Standard deviation is the square root of the variance, also known as root mean squared error.	0.0759803921568627	-0.323529411764706	-0.286764705882353	-0.321078431372549	1	-0.370098039215686	-0.017156862745098	-0.566176470588235	-0.102941176470588	-0.00980392156862745	0.262254901960784	-0.517156862745098	-0.127450980392157	0.264705882352941	0.262254901960784	0.257352941176471	0.262254901960784	-0.379901960784314
5 Standard deviation refers to how individual observations vary from the mean, while standard error refers to how multiple observations (i.e. samples) vary from the mean.	0.16421568627451	0.473039215686274	0.625	0.522058823529412	-0.370098039215686	1	0.610294117647059	0.764705882352941	0.323529411764706	0.105392156862745	0.071078431372549	0.637254901960784	0.176470588235294	0.365196078431373	0.0220588235294118	-0.20343137254902	0.0857843137254902	0.181372549019608
6 The density of a distribution between a range of values represents the probability that a new observation will fall within that range also.	0.0808823529411765	0.0637254901960784	0.100490196078431	0.46078431372549	-0.017156862745098	0.610294117647059	1	0.193627450980392	0.372549019607843	0.424019607843137	-0.0465686274509804	0.0122549019607843	-0.0931372549019608	0.715686274509804	0.372549019607843	-0.299019607843137	0.0857843137254902	0.149509803921569
7 The mean is computed by taking the sum of all the numbers in a set, divided by the count of the numbers in the set.	0.389705882352941	0.549019607843137	0.75	0.45343137254902	-0.566176470588235	0.764705882352941	0.193627450980392	1	0.166666666666667	-0.132352941176471	0.213235294117647	0.830882352941177	0.426470588235294	0.0759803921568627	-0.100490196078431	0.142156862745098	0.183823529411765	0.0686274509803922
8 The normal distribution has 68 percent of its observations in the range between -1 and 1 standard deviations from the mean.	0.284313725490196	0.169117647058824	0.394607843137255	0.151960784313725	-0.102941176470588	0.323529411764706	0.372549019607843	0.166666666666667	1	0.340686274509804	0.183823529411765	0.281862745098039	0	0.306372549019608	-0.174019607843137	-0.132352941176471	0.183823529411765	0.468137254901961
9 The normal distribution has 95 percent of its observations in the range between -2 and 2 standard deviations from the mean.	-0.178921568627451	-0.159313725490196	-0.213235294117647	-0.365196078431373	-0.00980392156862745	0.105392156862745	0.424019607843137	-0.132352941176471	0.340686274509804	1	0.0833333333333333	-0.0955882352941176	0.017156862745098	0.0637254901960784	-0.205882352941176	-0.490196078431373	-0.0637254901960784	0.200980392156863
