	Stu_00ea0b50a27238a1a209396453fb1c4d	Stu_01476ce43b36f563415487142e1c046c	Stu_0253cdb749f39471861340d0346915f1	Stu_02e531baf3492ba41607c21175598a09	Stu_038d615d7f4ebc8b27efd2c8d226d034	Stu_0391448da5eac00f9b6dd455081aa08e	Stu_04dd6ee86838195f6ceaf45c5bec197e	Stu_04ea566d35db87559bff32360ac139ac	Stu_0657f86f4ff3fe084bfff62f488150c4	Stu_07162763f5295ac2ac205a59c82f218e	Stu_0750480f9d470c37e313dc36329047f7	Stu_08068adc1a7ce33ac09ccb426ab6f293	Stu_0832d131f43ba6e40d91ab220cc1bb79	Stu_09266f06981ef59c54b75202604eebbf	Stu_09f76d2083c142e10771e26934a20c26	Stu_0b5df9ca7199154ee2f1d10fb15b3c50	Stu_0b8e52119f6b5f2b2dd5c1ad16a750f8
0 A distribution describes the likelihood that observations will occur within any range of values.	-5.15348996204086	-5.40846488347777	-5.25155029575605	5.64804898134642	4.59876627498853	5.86198509980396	-5.35159923389211	-4.88014014630306	-5.56105086839422	5.01439059758234	-4.47839111411608	4.76619140990362	4.77087762714783	6.45810396683802	5.23203109261583	-5.71668219265906	-4.74599251402358
1 A normal distribution, the most common natural distribution, is symmetric, so for example, the probability of observing a value in the range between -1 and 0 is equal to the probability of the range between 0 and 1.	-5.81427746178802	-5.1117850110737	5.18435830973555	5.17053957549152	-5.60760256401993	6.2292124323763	-5.63812625824592	-4.63161175289864	4.60622430572981	-5.45001437629723	5.19303091320551	4.49530128270638	-5.08739873930657	-4.51444520370847	-5.63668152148813	5.41861890846675	-5.24789765559655
2 A statistic describes a characteristic of a sample.	-4.86502793579848	-6.37621561715608	5.28144225643939	6.08205503420572	-4.49075305012017	5.80439050689305	-7.49918468705005	5.06293279284923	-5.41606313336212	4.82171861794544	5.69058499611679	5.42021641707212	-4.64280078226524	5.77385121714472	5.02210336247245	-4.86502617363927	-5.5905707245054
3 Although multiple samples are variable they are intended to represent the population from which they come.	5.24973692555987	-4.78550147816971	4.73769517622795	5.10735499879495	5.44520925960263	9.22165398938871	4.98204113437167	-4.82359791873973	-4.82614411771265	5.73441183179237	5.89438483732209	-4.51625303185411	-5.39198936887378	5.37039183767341	5.70015396815228	5.38687288019058	-5.18293209468203
4 Standard deviation is the square root of the variance, also known as root mean squared error.	-5.99368796549925	-4.77332494647901	-7.84824576045036	-5.53239678799502	-6.1376850713068	-6.20119104038315	-4.72456826673533	-6.64847890105234	-4.99162190818322	-6.73300188167883	-5.35864152091224	-5.25685060098683	-5.2014798143361	-4.74200314406538	4.73322994238618	-6.44290990683602	4.46600668141582
5 Standard deviation refers to how individual observations vary from the mean, while standard error refers to how multiple observations (i.e. samples) vary from the mean.	-4.99299679813336	-5.53233551416618	4.74600189496396	-4.90710210419056	4.58570002212674	4.90949144646739	-4.85826169550929	4.9486775281425	-5.63172980932218	-4.45727207789152	6.87171226360532	9.03954439315533	-6.09705952582802	5.08346716812298	-4.93726238781616	5.89561358411029	-6.05009425132104
6 The density of a distribution between a range of values represents the probability that a new observation will fall within that range also.	-5.19824904253723	-6.00146198817255	-4.68323641804302	-5.4399575100436	6.02316240911097	5.11496577874557	5.69525364151483	-5.15657225503932	-6.19355548551263	4.43272654893056	5.5525592831197	5.88339707228718	-4.73236914901276	5.08247048670155	-4.429180188454	6.03960787866092	4.82692086375511
7 The mean is computed by taking the sum of all the numbers in a set, divided by the count of the numbers in the set.	5.24099983632151	4.59327598785356	6.46251736658961	5.39448759964085	4.99091659464361	7.40109416323194	-4.38813993966354	5.76635909409721	-5.50549018764135	5.30253447115863	5.41690524425927	5.46029443062421	-4.779255673475	6.15101972599819	4.92040667110732	5.23899781527216	-6.45308500349913
8 The normal distribution has 68 percent of its observations in the range between -1 and 1 standard deviations from the mean.	-4.69223134111429	-5.02556508776025	8.5445807901466	4.92612298227248	6.02789356544583	5.2958510847839	5.01750715115993	4.60178678491231	5.49247404660321	7.57343130531343	8.72335781354195	6.97639728481507	6.12487746673445	6.70059868092842	5.3784359771701	5.0233439897465	5.78452432454513
9 The normal distribution has 95 percent of its observations in the range between -2 and 2 standard deviations from the mean.	-5.18044333967369	-5.15820309099494	5.8079409783492	-4.57609849629514	6.47852712042376	-4.35784081127281	6.84565409937649	7.23478617280499	4.8790439774091	5.37047113137343	4.95229835787349	5.84098849669466	5.35557115339432	4.98848268238158	4.68578112368304	5.18228194695768	10.1972593694757
