Question No. 1st	Question No. 2nd	Correlation_Coefficient	Significance
0	2	0.720588235294118	0.001101735754091
0	10	0.708333333333333	0.00146104977384653
0	16	0.806372549019608	9.23718755276859e-05
2	0	0.720588235294118	0.001101735754091
2	7	0.821078431372549	5.34635170112985e-05
2	11	0.806372549019608	9.23718755276859e-05
3	13	0.629901960784314	0.00672792962173485
5	6	0.637254901960784	0.00593243732308735
5	7	0.757352941176471	0.000430216119060578
5	11	0.602941176470588	0.0104068703955598
6	5	0.637254901960784	0.00593243732308735
6	13	0.735294117647059	0.000770053379280267
7	2	0.821078431372549	5.34635170112985e-05
7	5	0.757352941176471	0.000430216119060578
7	11	0.813725490196078	7.06893364403882e-05
10	0	0.708333333333333	0.00146104977384653
11	2	0.806372549019608	9.23718755276859e-05
11	5	0.602941176470588	0.0104068703955598
11	7	0.813725490196078	7.06893364403882e-05
13	3	0.629901960784314	0.00672792962173485
13	6	0.735294117647059	0.000770053379280267
16	0	0.806372549019608	9.23718755276859e-05
